episode,reward,ep_block_prob,ep_accepted_requests,avg_latency,executionTime
1.0,-86.0,0.54,46.0,238.38,0.45
1.0,-80.0,0.63,37.0,224.59,0.45
2.0,28.0,0.34,66.0,52.85,0.33
2.0,-74.0,0.46,54.0,274.84,0.33
3.0,-4.0,0.3,70.0,151.67,0.33
33.0,24.0,0.32,68.0,68.16,0.33
4.0,-50.0,0.46,54.0,200.27,0.33
4.0,34.0,0.29,71.0,68.06,0.33
5.0,40.0,0.29,71.0,60.39,0.33
5.0,28.0,0.28,72.0,96.91,0.33
6.0,48.0,0.24,76.0,58.58,0.29
6.0,48.0,0.23,77.0,59.82,0.29
6.0,44.0,0.18,82.0,84.7,0.29
7.0,-2.0,0.34,66.0,130.79,0.31
7.0,14.0,0.33,67.0,72.4,0.31
7.0,44.0,0.21,79.0,87.65,0.31
8.0,38.0,0.23,77.0,79.42,0.3
8.0,34.0,0.3,70.0,32.1,0.3
8.0,20.0,0.3,70.0,97.1,0.3
9.0,58.0,0.15,85.0,57.85,0.3
9.0,24.0,0.32,68.0,80.77,0.3
10.0,40.0,0.26,74.0,46.81,0.3
10.0,46.0,0.17,83.0,74.85,0.3
10.0,14.0,0.37,63.0,111.01,0.3
11.0,44.0,0.22,78.0,85.83,0.29
11.0,6.0,0.4,60.0,76.89,0.29
11.0,24.0,0.22,78.0,92.57,0.29
11.0,32.0,0.21,79.0,95.1,0.29
12.0,48.0,0.23,77.0,40.79,0.29
12.0,42.0,0.24,76.0,45.24,0.29
12.0,54.0,0.2,80.0,44.01,0.29
13.0,62.0,0.17,83.0,35.26,0.33
13.0,64.0,0.1,90.0,63.91,0.33
13.0,16.0,0.29,71.0,125.52,0.33
14.0,50.0,0.12,88.0,67.23,0.28
4.0,64.0,0.16,84.0,45.62,0.28
14.0,2.0,0.39,61.0,105.19,0.28
15.0,52.0,0.17,83.0,56.68,0.29
15.0,50.0,0.19,81.0,77.5,0.29
16.0,70.0,0.15,85.0,24.37,0.32
16.0,30.0,0.28,72.0,65.24,0.32
17.0,68.0,0.11,89.0,47.36,0.28
17.0,62.0,0.15,85.0,51.18,0.28
17.0,66.0,0.14,86.0,31.15,0.28
18.0,34.0,0.28,72.0,59.19,0.31
18.0,44.0,0.26,74.0,64.7,0.31
19.0,64.0,0.1,90.0,44.77,0.29
19.0,70.0,0.14,86.0,37.29,0.29
19.0,54.0,0.15,85.0,59.28,0.29
20.0,68.0,0.05,95.0,88.59,0.31
20.0,70.0,0.13,87.0,43.95,0.31
20.0,56.0,0.16,84.0,49.96,0.31
20.0,36.0,0.3,70.0,41.24,0.31
21.0,62.0,0.12,88.0,81.86,0.28
21.0,66.0,0.16,84.0,34.26,0.28
21.0,72.0,0.02,98.0,58.44,0.28
22.0,70.0,0.12,88.0,34.26,0.3
22.0,34.0,0.3,70.0,43.85,0.3
23.0,30.0,0.29,71.0,70.42,0.31
23.0,72.0,0.09,91.0,56.16,0.31
24.0,64.0,0.14,86.0,34.13,0.28
24.0,76.0,0.1,90.0,40.17,0.28
24.0,64.0,0.14,86.0,48.2,0.28
25.0,80.0,0.07,93.0,28.35,0.32
25.0,44.0,0.25,75.0,35.28,0.32
25.0,60.0,0.12,88.0,54.36,0.32
26.0,60.0,0.15,85.0,43.39,0.27
26.0,74.0,0.1,90.0,45.25,0.27
27.0,34.0,0.3,70.0,59.81,0.28
27.0,44.0,0.19,81.0,60.13,0.28
28.0,48.0,0.24,76.0,51.36,0.28
28.0,68.0,0.14,86.0,74.01,0.28
29.0,60.0,0.13,87.0,50.86,0.29
29.0,80.0,0.07,93.0,43.71,0.29
30.0,84.0,0.04,96.0,43.67,0.31
30.0,66.0,0.09,91.0,51.62,0.31
31.0,54.0,0.21,79.0,25.78,0.29
31.0,62.0,0.15,85.0,37.62,0.3
31.0,68.0,0.13,87.0,39.19,0.29
32.0,38.0,0.25,75.0,67.44,0.29
32.0,26.0,0.29,71.0,97.02,0.29
33.0,48.0,0.17,83.0,72.48,0.29
33.0,44.0,0.2,80.0,67.79,0.29
33.0,66.0,0.13,87.0,39.27,0.29
34.0,76.0,0.08,92.0,36.14,0.28
34.0,46.0,0.17,83.0,103.24,0.28
34.0,58.0,0.18,82.0,53.35,0.28
