episode,reward,ep_block_prob,ep_accepted_requests,avg_latency,executionTime
1,70.0,0.1,90.0,50.02,0.34

2,50.0,0.19,81.0,50.42,0.3

3,54.0,0.21,79.0,44.87,0.35
3,24.0,0.28,72.0,70.04,0.35
4,32.0,0.33,67.0,44.22,0.24
4,70.0,0.05,95.0,62.64,0.24
4,64.0,0.16,84.0,37.34,0.24
5,56.0,0.15,85.0,47.37,0.24
5,90.0,0.04,96.0,23.7,0.24

6,64.0,0.14,86.0,55.43,0.24
6,78.0,0.04,96.0,45.53,0.24
7,88.0,0.03,97.0,25.87,0.26
7,68.0,0.12,88.0,26.85,0.26
7,80.0,0.01,99.0,50.98,0.26
8,44.0,0.14,86.0,54.67,0.34
8,20.0,0.32,68.0,57.54,0.34
9,42.0,0.28,72.0,30.94,0.29
9,64.0,0.12,88.0,36.2,0.29

10,36.0,0.32,68.0,33.82,0.27
10,74.0,0.01,99.0,46.12,0.27
11,46.0,0.25,75.0,39.59,0.32
12,38.0,0.28,72.0,31.35,0.31
12,40.0,0.29,71.0,23.82,0.31
12,82.0,0.02,98.0,44.68,0.31
12,92.0,0.03,97.0,12.18,0.31
12,82.0,0.05,95.0,22.9,0.31
13,68.0,0.16,84.0,18.61,0.28
113,52.0,0.21,79.0,34.5,0.28
13,70.0,0.03,97.0,53.47,0.28
14,78.0,0.11,89.0,22.59,0.26

14,96.0,0.0,100.0,16.16,0.26
14,94.0,0.0,100.0,24.11,0.26
14,88.0,0.01,99.0,32.17,0.26
15,92.0,0.02,98.0,22.41,0.22
15,58.0,0.14,86.0,38.89,0.22
15,96.0,0.0,100.0,33.8,0.22
15,66.0,0.13,87.0,35.09,0.22
15,90.0,0.0,100.0,34.66,0.22
16,36.0,0.32,68.0,24.86,0.23
,62.0,0.16,84.0,33.9,0.23
17,84.0,0.08,92.0,14.92,0.26
17,60.0,0.12,88.0,51.3,0.26
17,48.0,0.25,75.0,24.61,0.26
18,78.0,0.05,95.0,37.83,0.25
18,82.0,0.05,95.0,30.51,0.25
18,42.0,0.29,71.0,22.7,0.25

19,64.0,0.15,85.0,31.63,0.27
19,46.0,0.2,80.0,62.32,0.27

19,82.0,0.04,96.0,34.14,0.27
19,80.0,0.04,96.0,26.99,0.27
20,22.0,0.31,69.0,48.05,0.26
20,48.0,0.24,76.0,24.8,0.26

20,58.0,0.17,83.0,22.01,0.26
20,80.0,0.0,100.0,47.58,0.26
21,26.0,0.31,69.0,49.14,0.22
21,92.0,0.03,97.0,29.64,0.22
21,84.0,0.0,100.0,34.89,0.22
22,74.0,0.13,87.0,18.8,0.22

22,68.0,0.16,84.0,17.3,0.22

22,24.0,0.35,65.0,34.06,0.22
23,30.0,0.3,70.0,27.43,0.25
23,92.0,0.0,100.0,21.83,0.25
23,92.0,0.03,97.0,11.97,0.25
23,12.0,0.4,60.0,49.84,0.25

23,68.0,0.15,85.0,19.06,0.25
24,88.0,0.0,100.0,27.39,0.25
24,90.0,0.01,99.0,29.6,0.25

24,100.0,0.0,100.0,3.18,0.25
25,96.0,0.01,99.0,23.5,0.22

25,90.0,0.03,97.0,26.78,0.22
26,48.0,0.26,74.0,33.3,0.25
26,98.0,0.01,99.0,25.21,0.25
27,84.0,0.01,99.0,51.95,0.22
227,64.0,0.17,83.0,17.97,0.22
27,34.0,0.27,73.0,43.82,0.22
27,62.0,0.17,83.0,25.02,0.22
28,26.0,0.37,63.0,18.91,0.21
28,68.0,0.12,88.0,49.13,0.21
28,86.0,0.01,99.0,32.77,0.21
29,16.0,0.39,61.0,42.65,0.23
29,54.0,0.18,82.0,32.41,0.23
30,62.0,0.1,90.0,54.7,0.23

30,96.0,0.0,100.0,21.59,0.23
30,42.0,0.26,74.0,25.11,0.23
31,58.0,0.17,83.0,35.73,0.23
31,32.0,0.33,67.0,25.09,0.23
31,32.0,0.32,68.0,32.77,0.23
32,80.0,0.01,99.0,45.77,0.23
32,98.0,0.01,99.0,13.45,0.23
32,92.0,0.03,97.0,30.08,0.23
32,68.0,0.16,84.0,13.77,0.23
33,44.0,0.19,81.0,41.67,0.22
33,100.0,0.0,100.0,19.36,0.22
33,66.0,0.15,85.0,29.32,0.22

34,48.0,0.16,84.0,60.95,0.23
34,80.0,0.01,99.0,49.85,0.23
35,32.0,0.31,69.0,46.28,0.23
35,82.0,0.04,96.0,32.92,0.23
35,86.0,0.01,99.0,56.51,0.23
36,82.0,0.01,99.0,44.33,0.24
36,60.0,0.17,83.0,34.78,0.24
36,32.0,0.32,68.0,29.74,0.24
37,56.0,0.17,83.0,28.59,0.27
37,92.0,0.0,100.0,37.62,0.27
38,12.0,0.41,59.0,41.66,0.25
38,84.0,0.01,99.0,30.53,0.25
38,92.0,0.03,97.0,11.54,0.25
39,16.0,0.38,62.0,56.93,0.21
39,90.0,0.02,98.0,31.96,0.21
40,92.0,0.01,99.0,30.15,0.22
